Date,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,State,Lat,Long
2020-11-27 05:00:00,1,195.27,0.0,0.03,54.36,0.06,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 06:00:00,1,196.93,0.0,0.03,56.51,0.06,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 07:00:00,1,198.6,0.0,0.03,57.94,0.07,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 08:00:00,1,198.6,0.0,0.03,58.65,0.07,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 09:00:00,1,198.6,0.0,0.03,58.65,0.07,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 10:00:00,1,198.6,0.0,0.02,58.65,0.06,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 11:00:00,1,198.6,0.0,0.02,57.94,0.06,0.5,0.54,0.0,AK,63.588753,-154.493062
2020-11-27 12:00:00,1,198.6,0.0,0.02,57.22,0.05,0.5,0.53,0.0,AK,63.588753,-154.493062
2020-11-27 13:00:00,1,196.93,0.0,0.02,55.79,0.05,0.5,0.53,0.0,AK,63.588753,-154.493062
2020-11-27 14:00:00,1,196.93,0.0,0.02,53.64,0.04,0.5,0.53,0.0,AK,63.588753,-154.493062
2020-11-27 15:00:00,1,196.93,0.0,0.02,52.93,0.04,0.5,0.52,0.0,AK,63.588753,-154.493062
2020-11-27 16:00:00,1,195.27,0.0,0.02,52.93,0.03,0.5,0.52,0.0,AK,63.588753,-154.493062
2020-11-27 17:00:00,1,193.6,0.0,0.02,52.93,0.03,0.5,0.52,0.0,AK,63.588753,-154.493062
2020-11-27 18:00:00,1,193.6,0.0,0.02,53.64,0.03,0.5,0.51,0.0,AK,63.588753,-154.493062
2020-11-27 19:00:00,1,191.93,0.0,0.02,56.51,0.04,0.5,0.51,0.0,AK,63.588753,-154.493062
2020-11-27 20:00:00,1,191.93,0.0,0.02,54.36,0.04,0.5,0.51,0.0,AK,63.588753,-154.493062
