dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,State,Lat,Long,date
1606453200,2,283.72,0.0,7.03,48.64,0.14,16.32,18.54,3.33,CA,36.778261,-119.417932,2020-11-27 05:00:00
1606456800,2,270.37,0.0,5.74,44.35,0.08,11.08,13.05,2.79,CA,36.778261,-119.417932,2020-11-27 06:00:00
1606460400,1,257.02,0.0,4.88,40.77,0.03,6.73,8.41,2.09,CA,36.778261,-119.417932,2020-11-27 07:00:00
1606464000,1,250.34,0.0,4.07,43.63,0.02,4.09,5.44,1.92,CA,36.778261,-119.417932,2020-11-27 08:00:00
1606467600,1,240.33,0.0,3.21,48.64,0.02,2.3,3.41,1.93,CA,36.778261,-119.417932,2020-11-27 09:00:00
1606471200,1,236.99,0.0,2.44,52.93,0.01,1.28,2.25,1.92,CA,36.778261,-119.417932,2020-11-27 10:00:00
1606474800,1,230.31,0.0,1.93,55.08,0.01,0.82,1.74,1.92,CA,36.778261,-119.417932,2020-11-27 11:00:00
1606478400,1,230.31,0.0,1.65,55.79,0.01,0.62,1.51,1.98,CA,36.778261,-119.417932,2020-11-27 12:00:00
1606482000,1,226.97,0.0,1.33,57.94,0.01,0.51,1.34,1.93,CA,36.778261,-119.417932,2020-11-27 13:00:00
1606485600,1,226.97,0.0,1.2,57.94,0.01,0.5,1.34,1.92,CA,36.778261,-119.417932,2020-11-27 14:00:00
1606489200,1,230.31,0.0,1.56,57.22,0.01,0.5,1.44,1.98,CA,36.778261,-119.417932,2020-11-27 15:00:00
1606492800,1,233.65,0.07,2.53,55.79,0.01,0.5,1.57,2.09,CA,36.778261,-119.417932,2020-11-27 16:00:00
1606496400,1,233.65,0.48,2.91,52.21,0.01,0.52,1.66,2.06,CA,36.778261,-119.417932,2020-11-27 17:00:00
1606500000,1,230.31,0.81,2.66,50.78,0.02,0.6,1.75,1.98,CA,36.778261,-119.417932,2020-11-27 18:00:00
1606503600,1,233.65,0.43,1.69,70.1,0.19,3.98,5.03,1.63,CA,36.778261,-119.417932,2020-11-27 19:00:00
1606507200,1,240.33,0.41,1.67,73.67,0.31,7.65,8.94,1.81,CA,36.778261,-119.417932,2020-11-27 20:00:00
1606510800,2,247.0,0.4,1.78,77.25,0.36,10.49,11.98,1.98,CA,36.778261,-119.417932,2020-11-27 21:00:00
1606514400,2,250.34,0.44,2.27,77.25,0.33,12.8,14.57,2.34,CA,36.778261,-119.417932,2020-11-27 22:00:00
1606518000,2,257.02,0.56,3.64,72.96,0.22,14.49,16.67,3.07,CA,36.778261,-119.417932,2020-11-27 23:00:00
1606521600,2,270.37,0.4,5.91,68.67,0.18,15.6,18.13,3.96,CA,36.778261,-119.417932,2020-11-28 00:00:00
1606525200,2,277.04,0.04,8.05,67.95,0.19,16.83,19.41,4.69,CA,36.778261,-119.417932,2020-11-28 01:00:00
1606528800,2,280.38,0.0,9.08,67.23,0.21,17.36,19.91,5.0,CA,36.778261,-119.417932,2020-11-28 02:00:00
1606532400,2,283.72,0.0,9.43,62.23,0.2,16.62,19.12,4.88,CA,36.778261,-119.417932,2020-11-28 03:00:00
1606536000,2,280.38,0.0,8.48,54.36,0.14,14.81,17.2,4.12,CA,36.778261,-119.417932,2020-11-28 04:00:00
1606539600,2,273.71,0.0,7.45,46.49,0.09,12.43,14.72,3.36,CA,36.778261,-119.417932,2020-11-28 05:00:00
1606543200,2,267.03,0.0,6.86,41.49,0.06,10.06,12.21,2.88,CA,36.778261,-119.417932,2020-11-28 06:00:00
1606546800,1,263.69,0.0,6.68,37.91,0.04,8.04,10.06,2.72,CA,36.778261,-119.417932,2020-11-28 07:00:00
1606550400,1,260.35,0.0,6.08,36.48,0.03,6.27,8.01,2.6,CA,36.778261,-119.417932,2020-11-28 08:00:00
1606554000,1,250.34,0.0,4.76,37.55,0.03,4.93,6.33,2.47,CA,36.778261,-119.417932,2020-11-28 09:00:00
1606557600,1,240.33,0.0,3.3,40.05,0.03,4.1,5.28,2.5,CA,36.778261,-119.417932,2020-11-28 10:00:00
1606561200,1,230.31,0.0,2.42,40.77,0.03,3.52,4.58,2.69,CA,36.778261,-119.417932,2020-11-28 11:00:00
1606564800,1,223.64,0.0,1.93,41.13,0.03,3.04,4.04,2.69,CA,36.778261,-119.417932,2020-11-28 12:00:00
1606568400,1,220.3,0.0,1.56,42.56,0.02,2.62,3.56,1.54,CA,36.778261,-119.417932,2020-11-28 13:00:00
1606572000,1,220.3,0.0,1.39,44.35,0.02,2.4,3.29,1.11,CA,36.778261,-119.417932,2020-11-28 14:00:00
1606575600,1,223.64,0.0,1.71,44.35,0.01,2.21,3.13,1.0,CA,36.778261,-119.417932,2020-11-28 15:00:00
1606579200,1,226.97,0.09,2.61,44.7,0.02,1.92,2.96,1.58,CA,36.778261,-119.417932,2020-11-28 16:00:00
