dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,State,Lat,Long,date
1606453200,1,447.27,12.63,31.19,0.1,1.68,9.02,12.32,1.06,DC,38.905985,-77.033418,2020-11-27 05:00:00
1606456800,1,393.87,6.87,28.1,0.37,1.67,7.22,9.85,0.59,DC,38.905985,-77.033418,2020-11-27 06:00:00
1606460400,1,357.15,3.38,25.02,1.08,1.73,6.28,8.44,0.39,DC,38.905985,-77.033418,2020-11-27 07:00:00
1606464000,1,340.46,2.4,22.28,1.57,1.8,6.08,8.01,0.33,DC,38.905985,-77.033418,2020-11-27 08:00:00
1606467600,1,330.45,2.38,20.22,1.48,1.97,6.2,8.0,0.29,DC,38.905985,-77.033418,2020-11-27 09:00:00
1606471200,1,323.77,2.6,18.68,1.32,2.15,6.38,8.06,0.26,DC,38.905985,-77.033418,2020-11-27 10:00:00
1606474800,1,330.45,4.36,18.17,0.63,2.33,6.96,8.71,0.33,DC,38.905985,-77.033418,2020-11-27 11:00:00
1606478400,1,383.85,12.96,18.51,0.07,2.56,9.13,11.44,0.71,DC,38.905985,-77.033418,2020-11-27 12:00:00
1606482000,2,473.98,27.49,19.54,0.02,2.89,11.85,15.03,1.2,DC,38.905985,-77.033418,2020-11-27 13:00:00
1606485600,2,527.38,36.21,19.71,0.15,3.43,13.27,17.12,1.43,DC,38.905985,-77.033418,2020-11-27 14:00:00
1606489200,2,520.71,34.87,19.36,0.44,4.59,13.21,17.23,1.39,DC,38.905985,-77.033418,2020-11-27 15:00:00
1606492800,2,440.6,21.68,22.62,1.32,7.99,12.23,15.44,0.94,DC,38.905985,-77.033418,2020-11-27 16:00:00
1606496400,2,433.92,19.22,23.65,2.08,9.66,12.24,15.28,1.01,DC,38.905985,-77.033418,2020-11-27 17:00:00
1606500000,2,433.92,18.55,24.68,2.48,10.61,12.65,15.54,1.08,DC,38.905985,-77.033418,2020-11-27 18:00:00
1606503600,2,370.5,8.49,25.02,9.21,8.7,11.61,13.63,0.39,DC,38.905985,-77.033418,2020-11-27 19:00:00
1606507200,2,350.48,7.1,23.65,13.41,8.46,11.21,12.96,0.28,DC,38.905985,-77.033418,2020-11-27 20:00:00
1606510800,2,347.14,5.48,26.39,12.34,8.58,10.8,12.45,0.33,DC,38.905985,-77.033418,2020-11-27 21:00:00
1606514400,2,600.82,39.79,38.39,0.72,8.35,17.38,20.56,3.48,DC,38.905985,-77.033418,2020-11-27 22:00:00
1606518000,4,1014.71,106.39,42.16,0.0,9.06,29.21,34.99,8.49,DC,38.905985,-77.033418,2020-11-27 23:00:00
1606521600,4,1348.5,162.72,44.55,0.0,9.3,41.94,50.22,12.67,DC,38.905985,-77.033418,2020-11-28 00:00:00
1606525200,5,1588.82,200.27,46.61,0.0,9.42,54.26,64.86,15.71,DC,38.905985,-77.033418,2020-11-28 01:00:00
1606528800,5,1762.39,228.88,47.3,0.0,9.18,64.96,77.43,17.73,DC,38.905985,-77.033418,2020-11-28 02:00:00
1606532400,5,1842.5,250.34,45.24,0.0,8.23,73.16,87.26,17.73,DC,38.905985,-77.033418,2020-11-28 03:00:00
1606536000,5,1842.5,264.65,37.7,0.0,4.23,78.06,92.74,6.9,DC,38.905985,-77.033418,2020-11-28 04:00:00
1606539600,5,1588.82,232.46,28.1,0.0,1.71,68.08,79.85,1.38,DC,38.905985,-77.033418,2020-11-28 05:00:00
1606543200,4,1108.17,148.42,21.59,0.0,1.13,46.67,53.78,0.68,DC,38.905985,-77.033418,2020-11-28 06:00:00
1606546800,2,433.92,17.43,28.45,0.16,2.95,16.77,19.06,0.12,DC,38.905985,-77.033418,2020-11-28 07:00:00
1606550400,2,333.79,1.58,26.73,3.67,2.98,12.73,14.18,0.02,DC,38.905985,-77.033418,2020-11-28 08:00:00
1606554000,2,313.76,0.32,21.76,10.01,2.98,11.86,13.14,0.0,DC,38.905985,-77.033418,2020-11-28 09:00:00
1606557600,2,303.75,0.22,19.02,13.23,2.92,11.6,12.87,0.0,DC,38.905985,-77.033418,2020-11-28 10:00:00
1606561200,2,303.75,0.33,19.02,12.52,2.95,11.79,13.13,0.0,DC,38.905985,-77.033418,2020-11-28 11:00:00
