dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,State,Lat,Long,date
1606453200,1,367.17,0.53,25.36,4.65,0.31,5.44,6.72,0.14,MA,42.407211,-71.382437,2020-11-27 05:00:00
1606456800,1,357.15,0.29,22.96,5.01,0.26,4.91,5.87,0.08,MA,42.407211,-71.382437,2020-11-27 06:00:00
1606460400,1,330.45,0.09,18.34,8.14,0.22,4.14,4.91,0.06,MA,42.407211,-71.382437,2020-11-27 07:00:00
1606464000,1,297.07,0.04,12.85,12.52,0.21,3.4,4.01,0.04,MA,42.407211,-71.382437,2020-11-27 08:00:00
1606467600,1,277.04,0.02,9.17,15.74,0.24,2.91,3.41,0.04,MA,42.407211,-71.382437,2020-11-27 09:00:00
1606471200,1,267.03,0.02,7.8,16.45,0.27,2.62,3.08,0.04,MA,42.407211,-71.382437,2020-11-27 10:00:00
1606474800,1,270.37,0.04,8.05,15.74,0.29,2.54,3.03,0.05,MA,42.407211,-71.382437,2020-11-27 11:00:00
1606478400,1,287.06,0.15,10.03,13.23,0.32,2.82,3.64,0.11,MA,42.407211,-71.382437,2020-11-27 12:00:00
1606482000,1,310.42,0.57,13.37,9.48,0.35,3.29,4.52,0.19,MA,42.407211,-71.382437,2020-11-27 13:00:00
1606485600,1,330.45,1.84,14.57,7.33,0.39,3.64,5.28,0.23,MA,42.407211,-71.382437,2020-11-27 14:00:00
1606489200,1,340.46,2.99,13.88,7.33,0.47,3.81,5.68,0.22,MA,42.407211,-71.382437,2020-11-27 15:00:00
1606492800,1,337.12,3.44,11.82,10.19,0.71,3.72,5.42,0.17,MA,42.407211,-71.382437,2020-11-27 16:00:00
1606496400,1,333.79,4.58,9.94,12.7,0.77,3.69,5.37,0.17,MA,42.407211,-71.382437,2020-11-27 17:00:00
1606500000,1,333.79,5.09,9.34,14.48,0.77,3.72,5.37,0.19,MA,42.407211,-71.382437,2020-11-27 18:00:00
1606503600,1,363.83,7.15,10.97,10.19,0.48,4.55,7.67,0.38,MA,42.407211,-71.382437,2020-11-27 19:00:00
1606507200,1,417.23,10.51,14.91,3.67,0.28,5.94,11.13,0.55,MA,42.407211,-71.382437,2020-11-27 20:00:00
1606510800,1,467.3,14.19,18.85,0.55,0.21,7.07,13.83,0.7,MA,42.407211,-71.382437,2020-11-27 21:00:00
1606514400,1,514.03,18.55,22.28,0.01,0.18,7.84,15.53,0.74,MA,42.407211,-71.382437,2020-11-27 22:00:00
1606518000,1,540.73,19.89,25.36,0.01,0.14,8.01,15.17,0.53,MA,42.407211,-71.382437,2020-11-27 23:00:00
1606521600,1,507.36,13.64,28.45,0.12,0.16,7.44,13.2,0.38,MA,42.407211,-71.382437,2020-11-28 00:00:00
1606525200,1,410.56,1.9,30.85,2.37,0.24,5.42,8.6,0.3,MA,42.407211,-71.382437,2020-11-28 01:00:00
1606528800,1,393.87,0.68,28.45,4.65,0.2,5.33,8.54,0.27,MA,42.407211,-71.382437,2020-11-28 02:00:00
1606532400,1,380.52,0.35,25.71,7.15,0.18,5.42,8.72,0.26,MA,42.407211,-71.382437,2020-11-28 03:00:00
1606536000,1,377.18,0.3,23.99,8.32,0.16,5.63,9.12,0.24,MA,42.407211,-71.382437,2020-11-28 04:00:00
1606539600,1,370.5,0.27,23.31,7.96,0.14,5.73,9.03,0.18,MA,42.407211,-71.382437,2020-11-28 05:00:00
1606543200,1,357.15,0.15,21.94,8.14,0.11,5.62,8.49,0.12,MA,42.407211,-71.382437,2020-11-28 06:00:00
1606546800,1,340.46,0.08,19.36,9.92,0.1,5.37,7.84,0.09,MA,42.407211,-71.382437,2020-11-28 07:00:00
1606550400,1,323.77,0.04,16.11,13.59,0.11,4.98,6.96,0.07,MA,42.407211,-71.382437,2020-11-28 08:00:00
1606554000,1,307.08,0.02,13.02,18.06,0.14,4.62,6.19,0.06,MA,42.407211,-71.382437,2020-11-28 09:00:00
1606557600,1,297.07,0.01,10.88,20.92,0.14,4.46,5.76,0.05,MA,42.407211,-71.382437,2020-11-28 10:00:00
1606561200,1,300.41,0.02,10.63,20.74,0.11,4.62,5.94,0.06,MA,42.407211,-71.382437,2020-11-28 11:00:00
1606564800,1,320.44,0.11,13.02,17.88,0.1,5.23,7.15,0.11,MA,42.407211,-71.382437,2020-11-28 12:00:00
1606568400,1,357.15,1.06,17.14,12.88,0.11,5.98,8.81,0.19,MA,42.407211,-71.382437,2020-11-28 13:00:00
1606572000,1,380.52,5.14,15.25,13.59,0.14,6.33,9.67,0.32,MA,42.407211,-71.382437,2020-11-28 14:00:00
1606575600,1,383.85,7.6,13.02,15.74,0.21,6.35,9.79,0.51,MA,42.407211,-71.382437,2020-11-28 15:00:00
1606579200,1,283.72,1.3,5.66,44.35,1.51,4.06,5.09,0.07,MA,42.407211,-71.382437,2020-11-28 16:00:00
1606582800,1,273.71,0.78,4.58,45.78,1.65,4.32,5.13,0.05,MA,42.407211,-71.382437,2020-11-28 17:00:00
1606586400,1,267.03,0.45,4.8,46.49,1.33,4.23,4.97,0.07,MA,42.407211,-71.382437,2020-11-28 18:00:00
1606590000,1,270.37,0.38,5.66,44.7,1.13,3.86,4.46,0.1,MA,42.407211,-71.382437,2020-11-28 19:00:00
1606593600,1,283.72,0.55,8.4,38.27,1.01,4.1,4.68,0.14,MA,42.407211,-71.382437,2020-11-28 20:00:00
1606597200,1,300.41,0.28,11.82,31.83,0.91,4.59,5.2,0.15,MA,42.407211,-71.382437,2020-11-28 21:00:00
1606600800,1,307.08,0.02,13.02,28.25,0.95,5.05,5.67,0.13,MA,42.407211,-71.382437,2020-11-28 22:00:00
1606604400,1,310.42,0.02,13.37,26.46,1.16,5.31,5.94,0.12,MA,42.407211,-71.382437,2020-11-28 23:00:00
1606608000,1,317.1,0.02,14.05,25.39,1.16,5.64,6.35,0.12,MA,42.407211,-71.382437,2020-11-29 00:00:00
1606611600,1,317.1,0.02,13.71,26.46,1.12,5.77,6.57,0.12,MA,42.407211,-71.382437,2020-11-29 01:00:00
1606615200,1,317.1,0.01,13.2,28.25,1.19,5.39,6.16,0.12,MA,42.407211,-71.382437,2020-11-29 02:00:00
1606618800,1,320.44,0.01,12.68,30.04,1.15,4.62,5.32,0.13,MA,42.407211,-71.382437,2020-11-29 03:00:00
1606622400,1,313.76,0.0,11.14,33.98,0.9,3.76,4.39,0.13,MA,42.407211,-71.382437,2020-11-29 04:00:00
1606626000,1,300.41,0.0,8.74,39.7,0.61,2.92,3.43,0.09,MA,42.407211,-71.382437,2020-11-29 05:00:00
1606629600,1,280.38,0.0,6.17,46.49,0.47,2.11,2.55,0.07,MA,42.407211,-71.382437,2020-11-29 06:00:00
1606633200,1,263.69,0.0,4.33,52.93,0.46,1.47,1.89,0.06,MA,42.407211,-71.382437,2020-11-29 07:00:00
1606636800,1,250.34,0.0,3.56,56.51,0.6,1.13,1.59,0.09,MA,42.407211,-71.382437,2020-11-29 08:00:00
1606640400,1,247.0,0.0,3.47,57.94,0.72,1.12,1.62,0.14,MA,42.407211,-71.382437,2020-11-29 09:00:00
1606644000,1,250.34,0.0,3.73,57.94,0.77,1.22,1.73,0.21,MA,42.407211,-71.382437,2020-11-29 10:00:00
1606647600,1,253.68,0.0,4.37,56.51,0.72,1.39,1.96,0.23,MA,42.407211,-71.382437,2020-11-29 11:00:00
1606651200,1,263.69,0.0,5.83,55.79,0.68,1.64,2.47,0.27,MA,42.407211,-71.382437,2020-11-29 12:00:00
1606654800,1,273.71,0.14,8.23,54.36,0.71,1.9,3.04,0.39,MA,42.407211,-71.382437,2020-11-29 13:00:00
1606658400,1,277.04,1.05,8.57,54.36,0.81,1.97,3.28,0.55,MA,42.407211,-71.382437,2020-11-29 14:00:00
1606662000,1,270.37,1.68,7.28,57.22,0.93,1.9,3.19,0.59,MA,42.407211,-71.382437,2020-11-29 15:00:00
1606665600,1,257.02,1.59,5.91,62.94,1.1,1.79,2.86,0.56,MA,42.407211,-71.382437,2020-11-29 16:00:00
1606669200,1,250.34,1.58,5.74,65.8,1.25,1.91,2.9,0.55,MA,42.407211,-71.382437,2020-11-29 17:00:00
1606672800,1,250.34,1.57,6.17,66.52,1.39,2.09,3.07,0.55,MA,42.407211,-71.382437,2020-11-29 18:00:00
1606676400,1,260.35,1.9,8.31,60.08,1.25,2.57,4.06,0.63,MA,42.407211,-71.382437,2020-11-29 19:00:00
1606680000,1,287.06,2.01,13.02,49.35,0.95,3.42,5.7,0.78,MA,42.407211,-71.382437,2020-11-29 20:00:00
1606683600,1,313.76,0.85,19.36,39.7,0.67,4.19,7.11,0.92,MA,42.407211,-71.382437,2020-11-29 21:00:00
1606687200,1,343.8,0.04,25.36,31.83,0.47,5.02,8.4,1.08,MA,42.407211,-71.382437,2020-11-29 22:00:00
1606690800,1,367.17,0.05,28.45,28.97,0.42,5.83,9.15,1.17,MA,42.407211,-71.382437,2020-11-29 23:00:00
1606694400,1,363.83,0.02,27.08,32.54,0.55,6.18,9.01,0.97,MA,42.407211,-71.382437,2020-11-30 00:00:00
